Industry,goods,services,goods and/or services
"Agriculture, Forestry and Fishing",5.5,5.8,10.5
Mining,6.2,5.5,8.9
Manufacturing,13.0,9.0,17.0
"Electricity, Gas, Water and Waste Services",7.3,11.7,14.4
Construction,3.6,6.4,8.7
Wholesale Trade,25.0,9.0,28.6
Retail Trade,19.5,9.6,23.8
Accommodation and Food Services,14.4,16.1,22.4
"Transport, Postal and Warehousing",1.1,13.9,14.2
Information Media and Telecommunications,8.9,25.4,29.8
Financial and Insurance Services,3.3,14.3,16.3
"Rental, Hiring and Real Estate Services",3.3,10.3,11.2
"Professional, Scientific and Technical Services",5.5,20.8,22.9
Administrative and Support Services,4.7,15.2,17.4
Health Care and Social Assistance,,15.6,15.6
Arts and Recreation Services,3.2,13.9,15.2
Other Services,5.6,19.0,21.1